Alert_Number,Organization_Name,Repository_Name,State,Dependency_Package_Ecosystem,Dependency_Package_Name,Dependency_Manifest_Path,Dependency_Scope,Severity,GHSA_ID,CVE_ID,Advisory_Summary,Advisory_Description,Vulnerable_Version_Range,First_Patched_Version,CVSS_Score,CVSS_Vector,CWE_IDs,CWE_Names,Created_At,Updated_At,Dismissed_At,Dismissed_By,Dismissed_Reason,Dismissed_Comment,Fixed_At,Auto_Dismissed_At,URL,References
24,InfoMGHAS-KR,juice-shop,open,npm,@angular/core,frontend/package.json,runtime,high,GHSA-jrmj-c5cx-3cw6,CVE-2026-22610,Angular has XSS Vulnerability via Unsanitized SVG Script Attributes,"A Cross-Site Scripting (XSS) vulnerability has been identified in the Angular Template Compiler. The vulnerability exists because Angular’s internal sanitization schema fails to recognize the `href` and `xlink:href` attributes of SVG `<script>` elements as a **Resource URL** context.

In a standard security model, attributes that can load and execute code (like a script's source) should be strictly validated. However, because the compiler does not classify these specific SVG attributes correctly",<= 18.2.14,,0.0,,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2026-01-10T04:29:06Z,2026-01-10T04:29:06Z,,,,,,,https://github.com/InfoMGHAS-KR/juice-shop/security/dependabot/24,"https://github.com/angular/angular/security/advisories/GHSA-jrmj-c5cx-3cw6, https://github.com/angular/angular/pull/66318, https://nvd.nist.gov/vuln/detail/CVE-2026-22610, https://github.com/angular/angular/commit/91dc91bae4a1bbefc58bef6ef739d0e02ab44d56, https://github.com/advisories/GHSA-jrmj-c5cx-3cw6"
24,InfoMGHAS-KR,ghas-juiceshop,open,npm,@angular/core,frontend/package.json,runtime,high,GHSA-jrmj-c5cx-3cw6,CVE-2026-22610,Angular has XSS Vulnerability via Unsanitized SVG Script Attributes,"A Cross-Site Scripting (XSS) vulnerability has been identified in the Angular Template Compiler. The vulnerability exists because Angular’s internal sanitization schema fails to recognize the `href` and `xlink:href` attributes of SVG `<script>` elements as a **Resource URL** context.

In a standard security model, attributes that can load and execute code (like a script's source) should be strictly validated. However, because the compiler does not classify these specific SVG attributes correctly",<= 18.2.14,,0.0,,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2026-01-10T04:29:06Z,2026-01-10T04:29:06Z,,,,,,,https://github.com/InfoMGHAS-KR/ghas-juiceshop/security/dependabot/24,"https://github.com/angular/angular/security/advisories/GHSA-jrmj-c5cx-3cw6, https://github.com/angular/angular/pull/66318, https://nvd.nist.gov/vuln/detail/CVE-2026-22610, https://github.com/angular/angular/commit/91dc91bae4a1bbefc58bef6ef739d0e02ab44d56, https://github.com/advisories/GHSA-jrmj-c5cx-3cw6"
23,InfoMGHAS-KR,juice-shop,open,npm,@angular/compiler,frontend/package.json,runtime,high,GHSA-jrmj-c5cx-3cw6,CVE-2026-22610,Angular has XSS Vulnerability via Unsanitized SVG Script Attributes,"A Cross-Site Scripting (XSS) vulnerability has been identified in the Angular Template Compiler. The vulnerability exists because Angular’s internal sanitization schema fails to recognize the `href` and `xlink:href` attributes of SVG `<script>` elements as a **Resource URL** context.

In a standard security model, attributes that can load and execute code (like a script's source) should be strictly validated. However, because the compiler does not classify these specific SVG attributes correctly",<= 18.2.14,,0.0,,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2026-01-10T04:12:43Z,2026-01-10T04:12:43Z,,,,,,,https://github.com/InfoMGHAS-KR/juice-shop/security/dependabot/23,"https://github.com/angular/angular/security/advisories/GHSA-jrmj-c5cx-3cw6, https://github.com/angular/angular/pull/66318, https://nvd.nist.gov/vuln/detail/CVE-2026-22610, https://github.com/angular/angular/commit/91dc91bae4a1bbefc58bef6ef739d0e02ab44d56, https://github.com/advisories/GHSA-jrmj-c5cx-3cw6"
23,InfoMGHAS-KR,ghas-juiceshop,open,npm,@angular/compiler,frontend/package.json,runtime,high,GHSA-jrmj-c5cx-3cw6,CVE-2026-22610,Angular has XSS Vulnerability via Unsanitized SVG Script Attributes,"A Cross-Site Scripting (XSS) vulnerability has been identified in the Angular Template Compiler. The vulnerability exists because Angular’s internal sanitization schema fails to recognize the `href` and `xlink:href` attributes of SVG `<script>` elements as a **Resource URL** context.

In a standard security model, attributes that can load and execute code (like a script's source) should be strictly validated. However, because the compiler does not classify these specific SVG attributes correctly",<= 18.2.14,,0.0,,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2026-01-10T04:12:43Z,2026-01-10T04:12:43Z,,,,,,,https://github.com/InfoMGHAS-KR/ghas-juiceshop/security/dependabot/23,"https://github.com/angular/angular/security/advisories/GHSA-jrmj-c5cx-3cw6, https://github.com/angular/angular/pull/66318, https://nvd.nist.gov/vuln/detail/CVE-2026-22610, https://github.com/angular/angular/commit/91dc91bae4a1bbefc58bef6ef739d0e02ab44d56, https://github.com/advisories/GHSA-jrmj-c5cx-3cw6"
356,InfoMGHAS-KR,GHAS-new-features,open,pip,Werkzeug,requirements.txt,runtime,medium,GHSA-87hc-h4r5-73f7,CVE-2026-21860, Werkzeug safe_join() allows Windows special device names with compound extensions,"Werkzeug's `safe_join` function allows path segments with Windows device names that have file extensions or trailing spaces. On Windows, there are special device names such as `CON`, `AUX`, etc that are implicitly present and readable in every directory. Windows still accepts them with any file extension, such as `CON.txt`, or trailing spaces such as `CON `.

This was previously reported as https://github.com/pallets/werkzeug/security/advisories/GHSA-hgf8-39gv-g3f2, but the fix failed to account",< 3.1.5,3.1.5,0.0,,CWE-67,Improper Handling of Windows Device Names,2026-01-08T21:06:37Z,2026-01-08T21:06:37Z,,,,,,,https://github.com/InfoMGHAS-KR/GHAS-new-features/security/dependabot/356,"https://github.com/pallets/werkzeug/security/advisories/GHSA-87hc-h4r5-73f7, https://github.com/pallets/werkzeug/commit/7ae1d254e04a0c33e241ac1cca4783ce6c875ca3, https://nvd.nist.gov/vuln/detail/CVE-2026-21860, https://github.com/advisories/GHSA-87hc-h4r5-73f7"
45,InfoMGHAS-KR,may26-webgoat,open,maven,org.bitbucket.b_c:jose4j,pom.xml,runtime,high,GHSA-3677-xxcr-wjqv,CVE-2024-29371,jose4j is vulnerable to DoS via compressed JWE content,"In jose4j before 0.9.6, an attacker can cause a Denial-of-Service (DoS) condition by crafting a malicious JSON Web Encryption (JWE) token with an exceptionally high compression ratio. When this token is processed by the server, it results in significant memory allocation and processing time during decompression.",< 0.9.6,0.9.6,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-1259,Improper Restriction of Security Token Assignment,2026-01-06T19:47:43Z,2026-01-06T19:47:43Z,,,,,,,https://github.com/InfoMGHAS-KR/may26-webgoat/security/dependabot/45,"https://nvd.nist.gov/vuln/detail/CVE-2024-29371, https://bitbucket.org/b_c/jose4j/issues/220/vuln-zip-bomb-attack, https://bitbucket.org/b_c/jose4j/commits/19a90a64c47bb07c4aa5462f1316d5c293d81fcf, https://github.com/advisories/GHSA-3677-xxcr-wjqv"
42,InfoMGHAS-KR,repo-webgoat,open,maven,org.bitbucket.b_c:jose4j,pom.xml,runtime,high,GHSA-3677-xxcr-wjqv,CVE-2024-29371,jose4j is vulnerable to DoS via compressed JWE content,"In jose4j before 0.9.6, an attacker can cause a Denial-of-Service (DoS) condition by crafting a malicious JSON Web Encryption (JWE) token with an exceptionally high compression ratio. When this token is processed by the server, it results in significant memory allocation and processing time during decompression.",< 0.9.6,0.9.6,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-1259,Improper Restriction of Security Token Assignment,2026-01-06T19:47:36Z,2026-01-06T19:47:36Z,,,,,,,https://github.com/InfoMGHAS-KR/repo-webgoat/security/dependabot/42,"https://nvd.nist.gov/vuln/detail/CVE-2024-29371, https://bitbucket.org/b_c/jose4j/issues/220/vuln-zip-bomb-attack, https://bitbucket.org/b_c/jose4j/commits/19a90a64c47bb07c4aa5462f1316d5c293d81fcf, https://github.com/advisories/GHSA-3677-xxcr-wjqv"
355,InfoMGHAS-KR,GHAS-new-features,open,maven,org.apache.logging.log4j:log4j-core,pom.xml,runtime,medium,GHSA-vc5p-v9hr-52mj,CVE-2025-68161,Apache Log4j does not verify the TLS hostname in its Socket Appender,"The Socket Appender in Apache Log4j Core versions 2.0-beta9 through 2.25.2 does not perform TLS hostname verification of the peer certificate, even when the  [verifyHostName](https://logging.apache.org/log4j/2.x/manual/appenders/network.html#SslConfiguration-attr-verifyHostName)  configuration attribute or the  [log4j2.sslVerifyHostName](https://logging.apache.org/log4j/2.x/manual/systemproperties.html#log4j2.sslVerifyHostName) system property is set to true.

This issue may allow a man-in-the-m",">= 2.0-beta9, < 2.25.3",2.25.3,0.0,,CWE-297,Improper Validation of Certificate with Host Mismatch,2025-12-19T22:37:35Z,2025-12-19T22:37:35Z,,,,,,,https://github.com/InfoMGHAS-KR/GHAS-new-features/security/dependabot/355,"https://nvd.nist.gov/vuln/detail/CVE-2025-68161, https://github.com/apache/logging-log4j2/pull/4002, https://lists.apache.org/thread/xr33kyxq3sl67lwb61ggvm1fzc8k7dvx, https://logging.apache.org/cyclonedx/vdr.xml, https://logging.apache.org/log4j/2.x/manual/appenders/network.html#SslConfiguration-attr-verifyHostName"
22,InfoMGHAS-KR,ghas-juiceshop,open,npm,@angular/compiler,frontend/package.json,runtime,high,GHSA-v4hv-rgfq-gp49,CVE-2025-66412,"Angular Stored XSS Vulnerability via SVG Animation, SVG URL and MathML Attributes","A **Stored Cross-Site Scripting ([XSS](https://angular.dev/best-practices/security#preventing-cross-site-scripting-xss))** vulnerability has been identified in the **Angular Template Compiler**. It occurs because the compiler's internal security schema is incomplete, allowing attackers to bypass Angular's built-in security sanitization. Specifically, the schema fails to classify certain URL-holding attributes (e.g., those that could contain [`javascript:` URLs](https://developer.mozilla.org/en-U",<= 18.2.14,,0.0,,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2025-12-02T10:08:24Z,2025-12-02T10:08:24Z,,,,,,,https://github.com/InfoMGHAS-KR/ghas-juiceshop/security/dependabot/22,"https://github.com/angular/angular/security/advisories/GHSA-v4hv-rgfq-gp49, https://nvd.nist.gov/vuln/detail/CVE-2025-66412, https://github.com/angular/angular/commit/1c6b0704fb63d051fab8acff84d076abfbc4893a, https://github.com/advisories/GHSA-v4hv-rgfq-gp49"
22,InfoMGHAS-KR,juice-shop,open,npm,@angular/compiler,frontend/package.json,runtime,high,GHSA-v4hv-rgfq-gp49,CVE-2025-66412,"Angular Stored XSS Vulnerability via SVG Animation, SVG URL and MathML Attributes","A **Stored Cross-Site Scripting ([XSS](https://angular.dev/best-practices/security#preventing-cross-site-scripting-xss))** vulnerability has been identified in the **Angular Template Compiler**. It occurs because the compiler's internal security schema is incomplete, allowing attackers to bypass Angular's built-in security sanitization. Specifically, the schema fails to classify certain URL-holding attributes (e.g., those that could contain [`javascript:` URLs](https://developer.mozilla.org/en-U",<= 18.2.14,,0.0,,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2025-12-02T10:08:23Z,2025-12-02T10:08:23Z,,,,,,,https://github.com/InfoMGHAS-KR/juice-shop/security/dependabot/22,"https://github.com/angular/angular/security/advisories/GHSA-v4hv-rgfq-gp49, https://nvd.nist.gov/vuln/detail/CVE-2025-66412, https://github.com/angular/angular/commit/1c6b0704fb63d051fab8acff84d076abfbc4893a, https://github.com/advisories/GHSA-v4hv-rgfq-gp49"
354,InfoMGHAS-KR,GHAS-new-features,open,pip,werkzeug,requirements.txt,runtime,medium,GHSA-hgf8-39gv-g3f2,CVE-2025-66221,Werkzeug safe_join() allows Windows special device names,"Werkzeug's `safe_join` function allows path segments with Windows device names. On Windows, there are special device names such as `CON`, `AUX`, etc that are implicitly present and readable in every directory. `send_from_directory` uses `safe_join` to safely serve files at user-specified paths under a directory. If the application is running on Windows, and the requested path ends with a special device name, the file will be opened successfully, but reading will hang indefinitely.",< 3.1.4,3.1.4,0.0,,CWE-67,Improper Handling of Windows Device Names,2025-12-02T02:49:25Z,2025-12-02T02:49:25Z,,,,,,,https://github.com/InfoMGHAS-KR/GHAS-new-features/security/dependabot/354,"https://github.com/pallets/werkzeug/security/advisories/GHSA-hgf8-39gv-g3f2, https://nvd.nist.gov/vuln/detail/CVE-2025-66221, https://github.com/pallets/werkzeug/commit/4b833376a45c323a189cd11d2362bcffdb1c0c13, https://github.com/pallets/werkzeug/releases/tag/3.1.4, https://github.com/advisories/GHSA-hgf8-39gv-g3f2"
21,InfoMGHAS-KR,ghas-juiceshop,open,npm,@angular/common,frontend/package.json,runtime,high,GHSA-58c5-g7wp-6w37,CVE-2025-66035,Angular is Vulnerable to XSRF Token Leakage via Protocol-Relative URLs in Angular HTTP Client,"The vulnerability is a **Credential Leak by App Logic** that leads to the **unauthorized disclosure of the Cross-Site Request Forgery (XSRF) token** to an attacker-controlled domain.

Angular's HttpClient has a built-in XSRF protection mechanism that works by checking if a request URL starts with a protocol (`http://` or `https://`) to determine if it is cross-origin. If the URL starts with protocol-relative URL (`//`), it is incorrectly treated as a same-origin request, and the XSRF token is au",< 19.2.16,19.2.16,0.0,,"CWE-201, CWE-359","Insertion of Sensitive Information Into Sent Data, Exposure of Private Personal Information to an Unauthorized Actor",2025-11-27T06:52:00Z,2025-11-27T06:52:00Z,,,,,,,https://github.com/InfoMGHAS-KR/ghas-juiceshop/security/dependabot/21,"https://github.com/angular/angular/security/advisories/GHSA-58c5-g7wp-6w37, https://github.com/angular/angular/commit/0276479e7d0e280e0f8d26fa567d3b7aa97a516f, https://github.com/angular/angular/commit/05fe6686a97fa0bcd3cf157805b3612033f975bc, https://github.com/angular/angular/commit/3240d856d942727372a705252f7c8c115394a41e, https://github.com/angular/angular/releases/tag/19.2.16"
21,InfoMGHAS-KR,juice-shop,open,npm,@angular/common,frontend/package.json,runtime,high,GHSA-58c5-g7wp-6w37,CVE-2025-66035,Angular is Vulnerable to XSRF Token Leakage via Protocol-Relative URLs in Angular HTTP Client,"The vulnerability is a **Credential Leak by App Logic** that leads to the **unauthorized disclosure of the Cross-Site Request Forgery (XSRF) token** to an attacker-controlled domain.

Angular's HttpClient has a built-in XSRF protection mechanism that works by checking if a request URL starts with a protocol (`http://` or `https://`) to determine if it is cross-origin. If the URL starts with protocol-relative URL (`//`), it is incorrectly treated as a same-origin request, and the XSRF token is au",< 19.2.16,19.2.16,0.0,,"CWE-201, CWE-359","Insertion of Sensitive Information Into Sent Data, Exposure of Private Personal Information to an Unauthorized Actor",2025-11-27T06:51:58Z,2025-11-27T06:51:58Z,,,,,,,https://github.com/InfoMGHAS-KR/juice-shop/security/dependabot/21,"https://github.com/angular/angular/security/advisories/GHSA-58c5-g7wp-6w37, https://github.com/angular/angular/commit/0276479e7d0e280e0f8d26fa567d3b7aa97a516f, https://github.com/angular/angular/commit/05fe6686a97fa0bcd3cf157805b3612033f975bc, https://github.com/angular/angular/commit/3240d856d942727372a705252f7c8c115394a41e, https://github.com/angular/angular/releases/tag/19.2.16"
18,InfoMGHAS-KR,test-juice,open,npm,sanitize-html,package.json,runtime,medium,GHSA-qhxp-v273-g94h,CVE-2019-25225,sanitize-html is vulnerable to XSS through incomprehensive sanitization,"`sanitize-html` prior to version 2.0.0-beta is vulnerable to Cross-site Scripting (XSS). The `sanitizeHtml()` function in `index.js` does not sanitize content when using the custom `transformTags` option, which is intended to convert attribute values into text. As a result, malicious input can be transformed into executable code.",< 2.0.0-beta,2.0.0-beta,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2025-11-21T07:15:48Z,2025-11-21T07:15:48Z,,,,,,,https://github.com/InfoMGHAS-KR/test-juice/security/dependabot/18,"https://nvd.nist.gov/vuln/detail/CVE-2019-25225, https://github.com/apostrophecms/sanitize-html/issues/293, https://github.com/apostrophecms/sanitize-html/pull/156, https://github.com/apostrophecms/sanitize-html/commit/712cb6895825c8bb6ede71a16b42bade42abcaf3, https://github.com/Checkmarx/Vulnerabilities-Proofs-of-Concept/tree/main/2019/CVE-2019-25225"
17,InfoMGHAS-KR,test-juice,open,npm,multer,package.json,runtime,high,GHSA-fjgf-rc76-4x9p,CVE-2025-7338,Multer vulnerable to Denial of Service via unhandled exception from malformed request,"### Impact

A vulnerability in Multer versions >= 1.4.4-lts.1, < 2.0.2 allows an attacker to trigger a Denial of Service (DoS) by sending a malformed request. This request causes an unhandled exception, leading to a crash of the process.

### Patches

Users should upgrade to `2.0.2`

### Workarounds

None",">= 1.4.4-lts.1, < 2.0.2",2.0.2,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-248,Uncaught Exception,2025-11-21T07:15:48Z,2025-11-21T07:15:48Z,,,,,,,https://github.com/InfoMGHAS-KR/test-juice/security/dependabot/17,"https://github.com/expressjs/multer/security/advisories/GHSA-fjgf-rc76-4x9p, https://nvd.nist.gov/vuln/detail/CVE-2025-7338, https://github.com/expressjs/multer/commit/adfeaf669f0e7fe953eab191a762164a452d143b, https://cna.openjsf.org/security-advisories.html, https://github.com/advisories/GHSA-fjgf-rc76-4x9p"
